date Thu Jul 23 09:38:20.686 am 2015
base hex  timestamps absolute
no internal events logged
// version 8.5.0
   1.541032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.561032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.561032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.581032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.581032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.600000    SV: 2 0 1 ::WiperSystem::Active = 258
   1.600000    SV: 2 0 1 ::WiperSystem::Position = 6
   1.601956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.601956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.621032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.621032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.641032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.641032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.661032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.661032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.681032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.681032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.700000    SV: 2 0 1 ::WiperSystem::Active = 1c2
   1.700000    SV: 2 0 1 ::WiperSystem::Position = 4
   1.701956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.701956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.721032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.721032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.741032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.741032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.761032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.761032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.781032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.781032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.800000    SV: 2 0 1 ::WiperSystem::Active = 12c
   1.800000    SV: 2 0 1 ::WiperSystem::Position = 3
   1.801956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.801956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.821032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.821032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.841032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.841032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.861032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.861032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.881032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.881032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.900000    SV: 2 0 1 ::WiperSystem::Active = 96
   1.900000    SV: 2 0 1 ::WiperSystem::Position = 1
   1.901956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.901956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.921032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.921032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.941032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.941032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.961032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.961032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.981032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
